State_Name,Crop_Year,Crop,Area,Production,Rain_fall
Andaman and Nicobar Islands,2000,Arecanut,1254.0,2000.0,0
Andaman and Nicobar Islands,2000,Other Kharif pulses,2.0,1.0,0
Andaman and Nicobar Islands,2000,Rice,102.0,321.0,0
Andaman and Nicobar Islands,2000,Banana,176.0,641.0,0
Andaman and Nicobar Islands,2000,Cashewnut,720.0,165.0,0
Andaman and Nicobar Islands,2000,Coconut ,18168.0,65100000.0,0
Andaman and Nicobar Islands,2000,Dry ginger,36.0,100.0,0
Andaman and Nicobar Islands,2000,Sugarcane,1.0,2.0,0
Andaman and Nicobar Islands,2000,Sweet potato,5.0,15.0,0
Andaman and Nicobar Islands,2000,Tapioca,40.0,169.0,0
Andaman and Nicobar Islands,2001,Arecanut,1254.0,2061.0,0
Andaman and Nicobar Islands,2001,Other Kharif pulses,2.0,1.0,0
Andaman and Nicobar Islands,2001,Rice,83.0,300.0,0
Andaman and Nicobar Islands,2001,Cashewnut,719.0,192.0,0
Andaman and Nicobar Islands,2001,Coconut ,18190.0,64430000.0,0
Andaman and Nicobar Islands,2001,Dry ginger,46.0,100.0,0
Andaman and Nicobar Islands,2001,Sugarcane,1.0,1.0,0
Andaman and Nicobar Islands,2001,Sweet potato,11.0,33.0,0
Andaman and Nicobar Islands,2002,Rice,189.2,510.84,0
Andaman and Nicobar Islands,2002,Arecanut,1258.0,2083.0,0
Andaman and Nicobar Islands,2002,Banana,213.0,1278.0,0
Andaman and Nicobar Islands,2002,Black pepper,63.0,13.5,0
Andaman and Nicobar Islands,2002,Cashewnut,719.0,208.0,0
Andaman and Nicobar Islands,2002,Coconut ,18240.0,67490000.0,0
Andaman and Nicobar Islands,2002,Dry chillies,413.0,28.8,0
Andaman and Nicobar Islands,2002,Dry ginger,47.3,133.0,0
Andaman and Nicobar Islands,2002,Sugarcane,5.0,40.0,0
Andaman and Nicobar Islands,2003,Rice,52.0,90.17,0
Andaman and Nicobar Islands,2003,Arecanut,1261.0,1525.0,0
Andaman and Nicobar Islands,2003,Banana,266.0,1763.0,0
Andaman and Nicobar Islands,2003,Black pepper,75.5,15.86,0
Andaman and Nicobar Islands,2003,Cashewnut,717.0,208.5,0
Andaman and Nicobar Islands,2003,Coconut ,18284.74,68580000.0,0
Andaman and Nicobar Islands,2003,Dry chillies,60.0,102.0,0
Andaman and Nicobar Islands,2003,Dry ginger,102.0,326.4,0
Andaman and Nicobar Islands,2003,other oilseeds,4.2,0.3,0
Andaman and Nicobar Islands,2004,Rice,52.94,72.57,0
Andaman and Nicobar Islands,2004,Arecanut,1264.7,805.85,0
Andaman and Nicobar Islands,2004,Banana,66.42,404.12,0
Andaman and Nicobar Islands,2004,Black pepper,85.0,15.86,0
Andaman and Nicobar Islands,2004,Cashewnut,683.5,197.9,0
Andaman and Nicobar Islands,2004,Coconut ,18394.7,52380000.0,0
Andaman and Nicobar Islands,2004,Dry chillies,60.0,145.2,0
Andaman and Nicobar Islands,2004,Dry ginger,118.0,366.0,0
Andaman and Nicobar Islands,2004,other oilseeds,1.0,0.11,0
Andaman and Nicobar Islands,2005,Rice,2.09,12.06,0
Andaman and Nicobar Islands,2005,Arecanut,795.67,,0
Andaman and Nicobar Islands,2005,Banana,22.0,582.0,0
Andaman and Nicobar Islands,2005,Black pepper,41.0,0.1,0
Andaman and Nicobar Islands,2005,Cashewnut,450.0,55.8,0
Andaman and Nicobar Islands,2005,Coconut ,13876.57,52030000.0,0
Andaman and Nicobar Islands,2005,Dry chillies,17.0,,0
Andaman and Nicobar Islands,2005,Turmeric,10.0,70.0,0
Andaman and Nicobar Islands,2006,Arecanut,896.0,477.6,0
Andaman and Nicobar Islands,2006,Banana,198.0,976.0,0
Andaman and Nicobar Islands,2006,Black pepper,22.16,0.68,0
Andaman and Nicobar Islands,2006,Cashewnut,450.0,85.13,0
Andaman and Nicobar Islands,2006,Coconut ,14358.0,59370000.0,0
Andaman and Nicobar Islands,2006,Dry chillies,3.0,9.0,0
Andaman and Nicobar Islands,2006,Dry ginger,6.0,21.0,0
Andaman and Nicobar Islands,2006,Sugarcane,0.2,0.5,0
Andaman and Nicobar Islands,2006,Sweet potato,18.0,86.0,0
Andaman and Nicobar Islands,2006,Tapioca,52.03,450.0,0
Andaman and Nicobar Islands,2006,Turmeric,2.5,1.03,0
Andaman and Nicobar Islands,2010,Rice,3.5,10.0,0
Andaman and Nicobar Islands,2010,Sugarcane,13.4,41.75,0
Andaman and Nicobar Islands,2010,Arecanut,944.0,1610.0,0
Andaman and Nicobar Islands,2010,Black pepper,23.0,8.5,0
Andaman and Nicobar Islands,2010,Cashewnut,1000.5,260.5,0
Andaman and Nicobar Islands,2010,Dry chillies,12.0,25.0,0
Andaman and Nicobar Islands,2010,Dry ginger,7.0,9.64,0
Andaman and Nicobar Islands,2010,Maize,3.84,18.22,0
Andaman and Nicobar Islands,2010,Moong(Green Gram),1.5,1.1,0
Andaman and Nicobar Islands,2010,Sweet potato,22.0,208.0,0
Andaman and Nicobar Islands,2010,Turmeric,2.0,0.5,0
Andaman and Nicobar Islands,2010,Urad,1.5,1.16,0
Andaman and Nicobar Islands,2010,Banana,593.0,3425.0,0
Andaman and Nicobar Islands,2010,Coconut ,14560.0,71300000.0,0
Andaman and Nicobar Islands,2010,Tapioca,69.0,575.0,0
Andaman and Nicobar Islands,2000,Arecanut,3100.0,5200.0,0
Andaman and Nicobar Islands,2000,Other Kharif pulses,668.0,448.0,0
Andaman and Nicobar Islands,2000,Rice,10779.0,31863.0,0
Andaman and Nicobar Islands,2000,Banana,1531.0,12073.0,0
Andaman and Nicobar Islands,2000,Cashewnut,80.0,54.0,0
Andaman and Nicobar Islands,2000,Coconut ,6992.0,23900000.0,0
Andaman and Nicobar Islands,2000,Dry ginger,352.0,1120.0,0
Andaman and Nicobar Islands,2000,other oilseeds,133.0,55.0,0
Andaman and Nicobar Islands,2000,Sugarcane,141.0,3736.0,0
Andaman and Nicobar Islands,2000,Sweet potato,78.0,843.0,0
Andaman and Nicobar Islands,2000,Tapioca,160.0,2108.0,0
Andaman and Nicobar Islands,2001,Arecanut,3100.0,5239.0,0
Andaman and Nicobar Islands,2001,Other Kharif pulses,418.0,199.0,0
Andaman and Nicobar Islands,2001,Rice,9718.0,27033.0,0
Andaman and Nicobar Islands,2001,Cashewnut,81.0,33.0,0
Andaman and Nicobar Islands,2001,Coconut ,7015.0,25250000.0,0
Andaman and Nicobar Islands,2001,Dry ginger,344.0,1124.0,0
Andaman and Nicobar Islands,2001,Sugarcane,81.0,2379.0,0
Andaman and Nicobar Islands,2001,Sweet potato,100.0,5.0,0
Andaman and Nicobar Islands,2006,Rice,6854.3,18995.62,0
Andaman and Nicobar Islands,2006,Arecanut,1160.0,3011.7,0
Andaman and Nicobar Islands,2006,Banana,957.57,8582.0,0
Andaman and Nicobar Islands,2006,Black pepper,175.0,191.14,0
Andaman and Nicobar Islands,2006,Cashewnut,40.5,44.0,0
Andaman and Nicobar Islands,2006,Coconut ,3575.0,15400000.0,0
Andaman and Nicobar Islands,2006,Dry chillies,235.72,824.3,0
Andaman and Nicobar Islands,2006,Dry ginger,98.66,929.0,0
Andaman and Nicobar Islands,2006,other oilseeds,35.62,21.4,0
Andaman and Nicobar Islands,2006,Sugarcane,71.3,1500.0,0
Andaman and Nicobar Islands,2006,Sweet potato,30.0,240.0,0
Andaman and Nicobar Islands,2006,Tapioca,255.0,1420.0,0
Andaman and Nicobar Islands,2006,Turmeric,68.0,408.0,0
Andaman and Nicobar Islands,2010,Rice,6791.0,20118.0,0
Andaman and Nicobar Islands,2010,Sugarcane,73.33,889.2,0
Andaman and Nicobar Islands,2010,Arecanut,1296.0,2290.0,0
Andaman and Nicobar Islands,2010,Arhar/Tur,294.5,90.8,0
Andaman and Nicobar Islands,2010,Black pepper,168.0,13.5,0
Andaman and Nicobar Islands,2010,Cashewnut,84.5,39.0,0
Andaman and Nicobar Islands,2010,Dry chillies,254.0,402.0,0
Andaman and Nicobar Islands,2010,Dry ginger,110.0,1011.84,0
Andaman and Nicobar Islands,2010,Groundnut,4.75,6.8,0
Andaman and Nicobar Islands,2010,Maize,86.7,96.4,0
Andaman and Nicobar Islands,2010,Moong(Green Gram),1168.6,556.55,0
Andaman and Nicobar Islands,2010,Sunflower,2.9,1.9,0
Andaman and Nicobar Islands,2010,Sweet potato,109.0,480.0,0
Andaman and Nicobar Islands,2010,Turmeric,68.0,376.5,0
Andaman and Nicobar Islands,2010,Urad,1059.5,458.79,0
Andaman and Nicobar Islands,2010,Banana,657.0,7968.0,0
Andaman and Nicobar Islands,2010,Coconut ,3668.0,12700000.0,0
Andaman and Nicobar Islands,2010,Tapioca,186.5,1355.0,0
Andaman and Nicobar Islands,2002,Rice,10695.8,31600.82,0
Andaman and Nicobar Islands,2002,Arecanut,3105.0,5267.0,0
Andaman and Nicobar Islands,2002,Banana,1524.0,10882.0,0
Andaman and Nicobar Islands,2002,Black pepper,487.0,102.5,0
Andaman and Nicobar Islands,2002,Cashewnut,81.0,24.0,0
Andaman and Nicobar Islands,2002,Coconut ,7060.0,26830000.0,0
Andaman and Nicobar Islands,2002,Dry chillies,239.0,20.9,0
Andaman and Nicobar Islands,2002,Dry ginger,352.0,1145.0,0
Andaman and Nicobar Islands,2002,other oilseeds,85.1,40.31,0
Andaman and Nicobar Islands,2002,Sugarcane,455.0,13760.0,0
Andaman and Nicobar Islands,2003,Rice,10509.37,30760.7,0
Andaman and Nicobar Islands,2003,Arecanut,3118.0,5182.0,0
Andaman and Nicobar Islands,2003,Banana,1530.0,11558.0,0
Andaman and Nicobar Islands,2003,Black pepper,497.0,104.37,0
Andaman and Nicobar Islands,2003,Cashewnut,116.5,26.14,0
Andaman and Nicobar Islands,2003,Coconut ,7110.0,26660000.0,0
Andaman and Nicobar Islands,2003,Dry chillies,340.0,578.0,0
Andaman and Nicobar Islands,2003,Dry ginger,406.0,1299.2,0
Andaman and Nicobar Islands,2003,other oilseeds,82.09,35.51,0
Andaman and Nicobar Islands,2003,Sugarcane,268.0,2879.52,0
Andaman and Nicobar Islands,2004,Rice,10681.98,29119.66,0
Andaman and Nicobar Islands,2004,Arecanut,3160.67,3975.2,0
Andaman and Nicobar Islands,2004,Banana,1912.1,17374.4,0
Andaman and Nicobar Islands,2004,Black pepper,570.0,104.36,0
Andaman and Nicobar Islands,2004,Cashewnut,116.5,25.1,0
Andaman and Nicobar Islands,2004,Coconut ,7156.7,34750000.0,0
Andaman and Nicobar Islands,2004,Dry chillies,340.0,822.8,0
Andaman and Nicobar Islands,2004,Dry ginger,410.0,1462.0,0
Andaman and Nicobar Islands,2004,other oilseeds,89.3,46.5,0
Andaman and Nicobar Islands,2004,Sugarcane,145.26,1560.0,0
Andaman and Nicobar Islands,2005,Rice,8683.38,25870.98,0
