SUBDIVISION,YEAR,ANNUAL
Andaman and Nicobar Islands,1997,2755.1
Andaman and Nicobar Islands,1998,2846.4
Andaman and Nicobar Islands,1999,2699.7
Andaman and Nicobar Islands,2000,2763.2
Andaman and Nicobar Islands,2001,3080.9
Andaman and Nicobar Islands,2002,2620.2
Andaman and Nicobar Islands,2003,2355.9
Andaman and Nicobar Islands,2004,2460.1
Andaman and Nicobar Islands,2005,2954.7
Andaman and Nicobar Islands,2006,2404.7
Andaman and Nicobar Islands,2007,2748.0
Andaman and Nicobar Islands,2008,3374.8
Andaman and Nicobar Islands,2009,2538.6
Andaman and Nicobar Islands,2010,3157.1
Andaman and Nicobar Islands,2011,3828.0
Andaman and Nicobar Islands,2012,3497.6
Andaman and Nicobar Islands,2013,3757.8
Andaman and Nicobar Islands,2014,2622.4
Andaman and Nicobar Islands,2015,2904.6
Arunachal Pradesh,1997,2274.9
Arunachal Pradesh,1998,3616.7
Arunachal Pradesh,1999,2316.6
Arunachal Pradesh,2000,2596.8
Arunachal Pradesh,2001,2036.0
Arunachal Pradesh,2002,2389.2
Arunachal Pradesh,2003,2451.8
Arunachal Pradesh,2004,2545.7
Arunachal Pradesh,2005,2335.5
Arunachal Pradesh,2006,2259.6
Arunachal Pradesh,2007,3020.7
Arunachal Pradesh,2008,2244.4
Arunachal Pradesh,2009,1749.9
Arunachal Pradesh,2010,2855.7
Arunachal Pradesh,2011,2193.7
Arunachal Pradesh,2012,3440.3
Arunachal Pradesh,2013,2042.9
Arunachal Pradesh,2014,2403.2
Arunachal Pradesh,2015,2767.5
Odisha,1997,1504.5
Odisha,1998,1357.1
Odisha,1999,1484.3
Odisha,2000,1097.2
Odisha,2001,1672.5
Odisha,2002,1102.8
Odisha,2003,1648.2
Odisha,2004,1290.4
Odisha,2005,1503.4
Odisha,2006,1716.9
Odisha,2007,1633.8
Odisha,2008,1538.9
Odisha,2009,1330.3
Odisha,2010,1291.9
Odisha,2011,1346.2
Odisha,2012,1405.9
Odisha,2013,1632.4
Odisha,2014,1536.9
Odisha,2015,1210.1
Jharkhand,1997,1461.3
Jharkhand,1998,1353.8
Jharkhand,1999,1586.9
Jharkhand,2000,1191.5
Jharkhand,2001,1254.4
Jharkhand,2002,1034.9
Jharkhand,2003,1245.0
Jharkhand,2004,1136.6
Jharkhand,2005,960.4
Jharkhand,2006,1459.5
Jharkhand,2007,1437.3
Jharkhand,2008,1325.3
Jharkhand,2009,996.1
Jharkhand,2010,697.1
Jharkhand,2011,1374.7
Jharkhand,2012,1065.0
Jharkhand,2013,1253.6
Jharkhand,2014,1156.6
Jharkhand,2015,1081.8
Bihar,1997,1303.7
Bihar,1998,1332.5
Bihar,1999,1402.7
Bihar,2000,1207.0
Bihar,2001,1247.0
Bihar,2002,1105.8
Bihar,2003,1353.9
Bihar,2004,1147.8
Bihar,2005,907.8
Bihar,2006,1052.8
Bihar,2007,1600.2
Bihar,2008,1197.7
Bihar,2009,889.3
Bihar,2010,629.2
Bihar,2011,1097.1
Bihar,2012,1032.4
Bihar,2013,1069.9
Bihar,2014,1061.0
Bihar,2015,872.7
Uttarakhand,1997,803.4
Uttarakhand,1998,1198.6
Uttarakhand,1999,1185.5
Uttarakhand,2000,1712.9
Uttarakhand,2001,1544.4
Uttarakhand,2002,1574.7
Uttarakhand,2003,1734.3
Uttarakhand,2004,1219.6
Uttarakhand,2005,1348.2
Uttarakhand,2006,1178.9
Uttarakhand,2007,1924.3
Uttarakhand,2008,1363.7
Uttarakhand,2009,847.8
Uttarakhand,2010,1424.0
Uttarakhand,2011,1564.7
Uttarakhand,2012,1223.9
Uttarakhand,2013,1735.4
Uttarakhand,2014,1287.4
Uttarakhand,2015,1247.6
Punjab,1997,690.1
Punjab,1998,588.6
Punjab,1999,364.4
Punjab,2000,405.3
Punjab,2001,441.0
Punjab,2002,274.7
Punjab,2003,424.6
Punjab,2004,351.7
Punjab,2005,552.0
Punjab,2006,647.7
Punjab,2007,594.8
Punjab,2008,717.1
Punjab,2009,361.2
Punjab,2010,451.5
Punjab,2011,705.2
Punjab,2012,493.6
Punjab,2013,586.6
Punjab,2014,382.7
Punjab,2015,510.8
Himachal Pradesh,1997,1454.5
Himachal Pradesh,1998,1381.6
Himachal Pradesh,1999,1144.9
Himachal Pradesh,2000,1068.4
Himachal Pradesh,2001,991.8
Himachal Pradesh,2002,990.4
Himachal Pradesh,2003,1034.5
Himachal Pradesh,2004,878.5
Himachal Pradesh,2005,1248.5
Himachal Pradesh,2006,1218.4
Himachal Pradesh,2007,1034.5
Himachal Pradesh,2008,1114.2
Himachal Pradesh,2009,956.5
Himachal Pradesh,2010,1259.4
Himachal Pradesh,2011,1108.3
Himachal Pradesh,2012,951.6
Himachal Pradesh,2013,1211.9
Himachal Pradesh,2014,1008.7
Himachal Pradesh,2015,1210.5
Jammu and Kashmir,1997,1295.9
Jammu and Kashmir,1998,1325.9
Jammu and Kashmir,1999,890.3
Jammu and Kashmir,2000,984.6
Jammu and Kashmir,2001,952.7
Jammu and Kashmir,2002,903.5
Jammu and Kashmir,2003,1311.1
Jammu and Kashmir,2004,944.9
Jammu and Kashmir,2005,1692.7
Jammu and Kashmir,2006,1519.8
Jammu and Kashmir,2007,1023.5
Jammu and Kashmir,2008,1224.5
Jammu and Kashmir,2009,
Jammu and Kashmir,2010,997.9
Jammu and Kashmir,2011,887.6
Jammu and Kashmir,2012,1034.7
Jammu and Kashmir,2013,859.3
Jammu and Kashmir,2014,1093.4
Jammu and Kashmir,2015,1572.8
Chhattisgarh,1997,1317.2
Chhattisgarh,1998,1332.5
Chhattisgarh,1999,1322.6
Chhattisgarh,2000,906.3
Chhattisgarh,2001,1600.1
Chhattisgarh,2002,990.2
Chhattisgarh,2003,1694.3
Chhattisgarh,2004,1144.5
Chhattisgarh,2005,1287.2
Chhattisgarh,2006,1317.7
Chhattisgarh,2007,1281.2
Chhattisgarh,2008,1108.5
Chhattisgarh,2009,956.6
Chhattisgarh,2010,1306.6
Chhattisgarh,2011,1302.7
Chhattisgarh,2012,1377.4
